Place Name,Place Id,State,District,City,Latitude,Longitude,Type,Short Description,Long Description,Did You Know,Main Image,Other Images
Bom Jesus Basilica ,GA_NorthGoa_BomJesusBasilica ,Goa,North Goa,Old Goa,15.5009,73.9116,Religious Sites,The Basilica of Bom Jesus is a Roman Catholic basilica part of the Churches and convents of Goa UNESCO World Heritage Site,"Bom Jesus' is the name used for the Ecce Homo in the countries of Portuguese colonization. The Jesuit church is India's first minor basilica, and is considered to be one of the best examples of baroque architecture and Portuguese Colonial architecture in India. It is one of the Seven Wonders of Portuguese Origin in the World.The body is perhaps the greatest attraction of the Basilica. A gallery of Modern Art is also a part of the Basilica.","Construction work on the church began in 1594. The church was consecrated in May 1605 by the archbishop, Dom Fr. Aleixo de Menezes. This world heritage monument has emerged as a landmark in the history of Christianity. It contains the body of St. Francis Xavier, a very close friend of St. Ignatius Loyola with whom he founded the Society of Jesus (the Jesuits). $This is one of the oldest churches in Goa and in India. The floor is of marble inlaid with precious stones. Apart from the elaborate gilded altars, the interior of the church is simple. The main altar holds a large statue of St. Ignatius of Loyola, the founder of the Society of Jesus (Jesuits), and one of Francis Xavier's companions whose words drew him to a reformed life. $The church also holds paintings of scenes taken from the life of St. Francis Xavier. The mausoleum, on the top of which is placed the silver casket with the body of St. Francis Xavier (1696), was the gift of the last of the Medicis, Cosimo III, the Grand Duke of Tuscany. $The mausoleum was designed by the 17th-century Florentine sculptor Giovanni Battista Foggini. It took ten years to complete. The casket containing his body is made of silver. The holy relics of the saint are displayed every ten years during the anniversary of the saint's death. His liturgical feast is 3 December.",https://i.imgur.com/HlEasQC.jpg,https://i.imgur.com/q0DVvpN.jpg https://i.imgur.com/L63wSeb.jpg https://i.imgur.com/h2lAcDc.jpg https://i.imgur.com/7HfpOdp.jpg https://i.imgur.com/yjIZLs4.jpg https://i.imgur.com/WTrAbkV.jpg https://i.imgur.com/N9CyCKI.jpg https://i.imgur.com/MNcWd2I.jpg https://i.imgur.com/UR8xGNy.jpg https://i.imgur.com/5uqj910.jpg
Butterfly Beach,GA_SouthGoa_ButterflyBeach,Goa,South Goa,Canacona,15.0196,74.0016,Port & Sea Beach,Butterfly beach is popularly known as Honeymoon Beach as a lot of honeymooners and couples come here for a secluded vacation,"Enjoy your solitude, away from the rest of the world and also experience the wonderful aquatic life out in the open front of the beach. You can also wait for the low tide period to witness wandering Sea urchins, redfish, goldfish, and sea cucumbers here. Moreover, on one side, million butterflies dance and harbour over this beach and on the other, you get to catch a glimpse of dolphins in the middle of the sea.","The Butterfly Beach is surrounded by a lot of rocks. Butterfly beach can easily be described as a piece of heaven on earth. It is one of the most photogenic beach paradises in the world. The Butterfly Beach was named by earlier tourists who used to visit the place and saw millions of butterflies flying on the blossoms on the hillside. $The main attraction of the beach is its famous Dolphin Play and the mesmerizing sunset. The sea urchins, sea cucumbers, footprints of crabs and goldfishes are equally eye catching. $The Canoe rides along the tiny water streams on the island provide a thrilling ride. But you can also see an amazing view of one of the most beautiful sunset view, you could have ever seen in your life. $There is no access to the beach by road since the area is heavily forested. One can take a 2 hour trek through the forest. If you wish to reach Butterfly beach, you may hire a cab or take a bus up to the Palolem beach. From the Palolem beach, you would need to take a short boat ride to the Butterfly Island.",https://i.imgur.com/DGgn5xx.jpg,https://i.imgur.com/ha4jprS.jpg https://i.imgur.com/p8dHMgD.jpg https://i.imgur.com/bveygJS.jpg https://i.imgur.com/PCkDcU7.jpg https://i.imgur.com/j5MYkqK.jpg https://i.imgur.com/u18ClEa.jpg https://i.imgur.com/D7J5Nvx.jpg
Bondla Wildlife Sanctuary ,GA_NorthGoa_BondlaWildlifeSanctuary ,Goa,North Goa,Ponda taluka,15.4401,74.1064,Nature & Wildlife,It is the smallest wildlife sanctuary in Goa and is very famous amongst the children and the environmentalists,"The sanctuary is smallest in Goa but has a number of species of flora and fauna. The species of animals and plants which one gets to see here are some of the rarest one in India. Many Photography enthusiasts from all over the country come to the Bondla Wildlife Sanctuary just to capture a beautiful moment, of the animals or the plants, in their camera. It is the aptest wildlife sanctuary as one can tour the entire place in one day itself. ","A wide variety of animal life can be encountered, including: sambar deer, Indian bison, Malabar giant squirrel, Indian peafowl and many species of snakes. $Bondla provides sanctuary to leopards who have been injured in human-wildlife conflict, as well as ""dancing"" bears and cobras who, along with their trainers, need a new life after this treatment of endangered wildlife. $Bondla zoo is known for its successful breeding of gaur. As it is the only zoo in Goa, many visit the zoo. The zoo provides an excellent environment to breed and do researches on animals.",https://i.imgur.com/ViYzv1F.jpg,https://i.imgur.com/AfS3foS.jpg https://i.imgur.com/t05tIyv.jpg https://i.imgur.com/xZ7vfcI.jpg https://i.imgur.com/GvCH2F2.jpg https://i.imgur.com/2Wc4skE.jpg https://i.imgur.com/0KK5eE9.jpg
Mollem National Park,GA_SouthGoa_MollemNationalPark,Goa,South Goa,Molem,15.3643,74.2693,Nature & Wildlife,It is a nice picnic spot if you are looking to do something offbeat,The Mollem National Park is a part of the Bhagwan Mahaveer Sanctuary. Mollem National Park is populated with lush green trees that make up a dense forest which is home to several unique species of birds and animals. Butterflies also populate the forest. The things you can do in Mollem National Park range from trekking to animal spotting.,"This area was first known as Mollem Game Sanctuary. It was declared a wildlife sanctuary in 1969 and renamed as Bhagwan Mahaveer Sanctuary. The core area of the sanctuary covering 107 square kilometres (41 sq mi) was notified as Mollem National Park in 1978. $There are also many good treks you can undertake including one to the Devils Canyon, Sunset Point, and Tambdi Water Falls.  Ancient temples dedicated to various gods are also a part of this national park. The Tambdi Surla Devi Temple is one such temple and was built in the 12th century.",https://i.imgur.com/Ix0y9up.jpg,https://i.imgur.com/PlXZSPv.jpg https://i.imgur.com/cA5ieWf.jpg https://i.imgur.com/iNxn5wU.jpg https://i.imgur.com/kePtQXt.jpg https://i.imgur.com/U8knjFL.jpg
Salim Ali Bird Sanctuary,GA_NorthGoa_SalimAliBirdSanctuary,Goa,North Goa,Panaji,15.513,73.8704,Zoos & Reserves, It is a hidden gem that not many people visit but it makes for a top sight-seeing place in Goa,"The Salim Ali Bird Sanctuary is so named after India’s top ornithologist. The island is covered in mangrove swamps and frequented by birds of all kinds. Both local as well as out of state birds make a home in the sanctuary. The mangrove swamps are a good breeding habitat for many birds, fishes, and insects. There is a watch tower in the sanctuary from where you can watch the various kinds of birds that frequent the island. ","The sanctuary and island are accessed by a ferry service running between Ribander and Chorão. The sanctuary has a paved walk that runs between mangroves of Rhizophora mucronata, Avicennia officinalis and other species.The size of the sanctuary is 178 ha (440 acres). The area is covered by low mangrove forest. $Several species of birds have been recorded and the common species include the striated heron and western reef heron. Other species that have been recorded include the little bittern, black bittern, red knot, jack snipe and pied avocet (on transient sandbanks). $The sanctuary is also host to mudskippers, fiddler crabs and other mangrove habitat specialists. A species of crustacean Teleotanais indianis was described based on specimens obtained in the sanctuary.",https://i.imgur.com/9ZhUx6B.jpg,https://i.imgur.com/bIAUQ07.jpg https://i.imgur.com/h7VOyQq.jpg https://i.imgur.com/krnyQDP.jpg https://i.imgur.com/7TA5AAS.jpg https://i.imgur.com/fjpDZC6.jpg https://i.imgur.com/EoaFcrq.jpg https://i.imgur.com/vV6zZwX.jpg https://i.imgur.com/AKugrjY.jpg 
Naval Aviation Museum,GA_SouthGoa_NavalAviationMuseum,Goa,South Goa,Vasco Da Gama,15.3749,73.8388,Education & History,The Naval Aviation Museum in Goa is one of the two military museums in India and overall one of the best museums you can visit in India,"The museum has two sections- the indoor area and the court outside. You can roam around the park outside and look at the various out-of-commission aircrafts that served in the navy. These are all very important aircrafts and have played crucial roles in the Indian Defence Strategies. The interior of the museum is designed to look like INS Viraat, an important Indian Naval base, and hosts several interesting galleries where you can read about the many battles the Indian Naval Forces have been a part of.","This museum contains exhibits that showcase the evolution of the Indian Naval Air Arm over decades. The museum is divided into two main parts, an outdoor exhibit and a two-storey indoor gallery. The museum was inaugurated in October 1998 and is one of the two military aviation museums in India, the other being the Indian Air Force Museum, Palam in Delhi. The Naval Aviation Museum is the only of its kind in Asia. $There is a room dedicated to naval equipment like warheads, bombs, torpedoes, rockets etc and another room has the collection of underwater radars used to detect underwater enemy targets. $The children will love the simulation room inside the museum where visitors can experience being inside the cockpit. The Naval Aviation Museum is a great educational experience combined with fun. ",https://i.imgur.com/WDmejVk.jpg,https://i.imgur.com/20dJVgp.jpg https://i.imgur.com/1cpAV6s.jpg https://i.imgur.com/gZtZucL.jpg https://i.imgur.com/SmeAw1h.jpg https://i.imgur.com/pWs97KT.jpg https://i.imgur.com/dmlLVZz.jpg https://i.imgur.com/UbeQKG4.jpg https://i.imgur.com/YrHLJF4.jpg https://i.imgur.com/y04p1rM.jpg https://i.imgur.com/aY80QYX.jpg https://i.imgur.com/GdLwDuY.jpg https://i.imgur.com/w8JQHNw.jpg https://i.imgur.com/7HfNo1j.jpg https://i.imgur.com/OxOfUZK.jpg https://i.imgur.com/jweZytc.jpg https://i.imgur.com/Oz6gkO0.jpg
Tiracol Fort,GA_NorthGoa_TiracolFort,Goa,North Goa,Tiracol,15.7216,73.6865,Iconic Places,The Fort is full of intricate carvings and some great architecture that can be awe-inspiring for all history lovers out there,"This particular Fort has played a huge role in the earlier years when everyone was struggling for freedom. Since it has witnessed so many wars, victories and defeats it is considered as a symbol of the bravery of all freedom fighters of Goa. This Fort was destroyed in the wartime but was again rebuilt after a few years and has stood tall and proud ever since. ","The fort was originally built by Maharaja Khem Sawant Bhonsle, the Raja of Sawantwadi, in the 17th century. The site chosen was a hillock on the Northern (right) bank of the river, which gave a commanding view of the Arabian sea. The Bhonsles of Sawantwadi kept a sizeable fleet of native vessels which sheltered in the Tiracol River. The fort initially consisted of 12 guns, a barrack and a chapel. $Fort Tiracol was a symbolic location where freedom fighters from Goa demonstrated from time to time. On 15 August 1954, Satyagrahis protesting Portuguese rule entered Goa from three different directions - one of which was from the North to Fort Tiracol, which was occupied and flew the Indian flag for a day before they were captured and imprisoned.",https://i.imgur.com/glojJDK.jpg,https://i.imgur.com/z3mxDtz.jpg https://i.imgur.com/cJWQ5Z6.jpg
Curlies Beach,GA_NorthGoa_CurliesBeach,Goa,North Goa,Anjuna,15.5695,73.7423,Port & Sea Beach,"Loud, cheerful music, a whole host of foods and drinks to choose from, and a breath-taking view","Curlies is one of the necessary places to visit in Goa for youngsters. This club also provides a variety of accommodation options so you can, in fact, choose to stay here for a day or two. It will be well worth the stayover. Curlies is an all-in-one beach “shack”. Not only is it known for its good quality of service and its equally good food, it is also very famous for its sea view. ","Curlies Goa is one of the first ever beach shacks, located at the Anjuna Beach strip. What started as a small shack has today become one of the major landmarks in Goa. Expanding over the years, it has developed in its own way to become two floors complex with two restaurants, bars, internet café, Sea View veranda, Tea House, Shopping, Indoor club and fully prepared for hosting a party up to 500 people dance floor. $This is a great set-up if you’re lodging at Curlies because you just have to put on your beach slippers and step out into the sand and the sea in the morning. You can spend the entire day on the beach soaking up the sun, knowing that everything you need is right next to you in the hotel.",https://i.imgur.com/ZNaBfv5.jpg,https://i.imgur.com/ZNaBfv5.jpg https://i.imgur.com/La7WwuK.jpg https://i.imgur.com/os5FA38.jpg https://i.imgur.com/QRS6yQ7.jpg https://i.imgur.com/t5L9aGC.jpg https://i.imgur.com/Zso70PN.jpg https://i.imgur.com/Lvc0hfo.jpg
Vagator Beach,GA_NorthGoa_VagatorBeach,Goa,North Goa,Vagator,15.603,73.7336,Port & Sea Beach,Vagator Beach has dramatic red cliffs looking down on the shore and two fresh water springs,"Vagator beach is adorned with picturesque red cliffs that look down to two freshwater springs that are a stone’s throw distance from the sea.Vagator Beach is split into two main beaches by a seaside headland which holds the car park and lots of stalls selling trinkets, clothes, soft drinks and snacks. As you face the sea, on your right is North Vagator Beach and on your left Ozran Beach, more commonly known as Little Vagator Beach.",2013 saw the popular Sunburn Festival shift its base to Vagator from Candolim Beach.,https://i.imgur.com/D2f6O6L.jpg,https://i.imgur.com/D2f6O6L.jpg https://i.imgur.com/I8YDNBS.jpg https://i.imgur.com/rE2GzP2.jpg https://i.imgur.com/f9K3Rwb.jpg https://i.imgur.com/Uvc2NeG.jpg https://i.imgur.com/nI9PNie.jpg 
Arambol Beach,GA_NorthGoa_ArambolBeach,Goa,North Goa,Arambol ,15.6847,73.7033,Port & Sea Beach,"Considered to be the most beautiful beaches in Goa, and borders the Mandrem Beach and Keri Beach on two sides","The Bohemian vibe of the beach attracts foreigners of all nationalities to it. Its plethora of beach shacks, open air events, live music gigs and vibrant nightlife make it a must visit for people across all fields and interests. The beach is also often used as a venue for barbeque events or sunset parties. Arambol Beach also hosts two of the most significant cultural events held in Goa- the Tribal Dance Festival and the Indian Juggling Convention.","One can enjoy a number of watersports at Arambol Beach, as well as simply take a stroll along the water. Scooters and motorcycles may also be hired for personal use against a charge. $The streets of Arambol are lined with a number of eateries and street side vendors selling a number of wares. The beach also features a drum circles, where musicians travelling along the beach often come together to make music. $Arambol Beach is also well connected to a number of attractions and popular tourist destinations. A very short walk away from here is the Paliem sweet water lake. This beach is also well connected to other beaches, like the Keri Beach and the Mandrem Beach.",https://i.imgur.com/VV1osMY.jpg,https://i.imgur.com/VV1osMY.jpg https://i.imgur.com/WnY768O.jpg https://i.imgur.com/NY7OSUB.jpg https://i.imgur.com/jwYPHig.jpg https://i.imgur.com/jCSAPOO.jpg 
