Place Name,Place Id,State,District,City,Latitude,Longitude,Type,Short Description,Long Description,Did You Know,Main Image,Other Images
Huma Temple,OD_Sambalpur_HumaTemple,Odisha,Sambalpur,Sambalpur,21.2808,83.9123,Religious Sites,The Leaning Temple of Huma in India is one of only two leaning temples in the world,"Huma is a place of pilgrimage, known for its leaning temple of lord shiva and is also visited by strangers out of curosity to see the different kind of fish in the river. The presiding diety is Bimaleswar Siva. The special type of fish found here are called as Kudo fish. They are said to be so tame that they will eat sweets and other foods from the hands of those who bathe close to the temple. During auspicious days they are called by their names and given the prasad of the God. Here nobody tries to catch them as they are believed to be the assets of the God.","The Huma Leaning temple was built in the reign of Baliar Singh, the fifth Raja of Sambalpur. :The worship of Siva is said to have been initiated by a milkman (Gauda), who daily crossed the Mahanadi to a place on the bank where the underlying rock croped out. Here he daily offered his dole of milk, which was at once drunk up by the rock, and this miraculous circumstance led to enquiries, which ended in the construction of the present temple. :The surprising thing is, the main temple tilted to one direction and other small temples tilted to some other direction. And within the temple complex i.e. within the boundaries of temple, everything found to be in tilted condition including the boundaries. :Now again the angle of inclination is not changed since last 40/50 years as said by the villagers and priests. However the structure is tilted may be due to some geological reason, may be the earth crust is un-even in structure. ",https://i.imgur.com/rDwFlJg.jpg,https://i.imgur.com/U2EH4de.jpg  https://i.imgur.com/EJA6mag.jpg https://i.imgur.com/4HrQWkZ.jpg
Hirakud Dam,OD_Sambalpur_HirakudDam,Odisha,Sambalpur,Sambalpur,21.5306,83.8705,Dams & Water Reservoirs,One of the first major multipurpose river valley projects started after India's independence,"The longest earthen dam of the world stands in its lone majesty across the great river Mahanadi. The bulk of Hirakud dam contains earth, concrete and masonry materials sufficient to make a road 8 metres wide and pave it from Kanyakumari to Kashmir and Amritsar to Dibrugarh in Assam. A twenty-one Kilometres drive on the dyke offers a unique experience of calm serenity and majesty of nature. One can enjoy the sight of mighty Hirakud dam and the fantastic expanse of water from the top of the revolving minarate called Gandhi Minar.","In 1945, under the chairmanship of Dr. B. R. Ambedkar, the Member of Labour, it was decided to invest in the potential benefits of regulating the Mahanadi for multi-purpose use. On 15 March 1946, Sir Hawthorne Lewis, the Governor of Odisha, laid the foundation stone of the Hirakud Dam. :The dam was completed in 1953 and was formally inaugurated by Prime Minister Jawaharlal Nehru on 13 January 1957. :The total cost of the project was ₹1,000.2 million (equivalent to ₹81 billion or US:1.1 billion in 2019) in 1957. :Power generation along with agricultural irrigation started in 1956, achieving full potential in 1966. :From horizon to horizon the resorvoir forms the largest artificial lake in Asia with an area of 746 Sq.Kms. and a shore line over 640 Kms.",https://i.imgur.com/cPia6QQ.jpg,https://i.imgur.com/52bEJxL.jpg https://i.imgur.com/xtXD9Dh.jpg https://i.imgur.com/uAs5lsl.jpg https://i.imgur.com/0cdPFU9.jpg https://i.imgur.com/gBz0tjA.jpg
Gudguda Waterfall,OD_Sambalpur_GudgudaWaterfall,Odisha,Sambalpur,Sambalpur,21.7359,84.623,Waterbodies,"Nice place for hangout with natural beauty, mountain, waterfall","This is one of the small but beautiful Waterbodies of Sambalpur district, Odisha. It is a Cascade waterfall meaning two Waterbodies back to back. Waterfall sprinkles out from the Gudguda mountain, however streams doesn't turns into any river. This Place has three Step by step Waterbodies, these Waterfall have been beautifully carved themselves through the rocks. This Place is also good for Mountain Trekking.","Gudguda, one of the most beautiful Picnic Spot.This place is fully covered with dense forest. :As soon as you are about to enter the spot, you can find many Mango and Lichi Orchards on both side of the roads. You can also hear chirping of birds, gushing sound of waterfall etc. ",https://i.imgur.com/GjHkuvF.jpg,https://i.imgur.com/somwhuD.jpg https://i.imgur.com/ifaCHLc.jpg https://i.imgur.com/BmQP6iB.jpg
Ghanteswari Temple,OD_Sambalpur_GhanteswariTemple,Odisha,Sambalpur,Sambalpur,21.3547,83.9192,Religious Sites,"People here offer bells to the goddess Ghanteswari or the Deity of Bells, after fulfillment of their wishes","Maa Ghanteswari Temple is one of the most holiest and beautiful place in Sambalpur. Many pilgrims from across the state visit the temple. It is known as the 'lighthouse without light', built by the early sailors, for whom the bells served as warning against heavy winds. The special significance of this place lies in the great number of small bells hanging all around.","It temple was playing an important role for navigation in the past. It was called a light house without light. The place got its name from goddess Ghanteswari. :Earlier there were some big size bells on this spot and with the help of wind those were creating enormous sound which made the navigators aware of this treacherous spot and they never came near it. :This area being the conglomeration of three streams of water of river Mahanadi, the water current here is very treacherous forming a whirlpool. Due to this many boats were drowned while nearing this spot.",https://i.imgur.com/z2rXyMs.jpg,https://i.imgur.com/kqZNdi0.jpg https://i.imgur.com/aOzUvmi.jpg https://i.imgur.com/3Xq0TtO.jpg https://i.imgur.com/yq4zex8.jpg https://i.imgur.com/z35rbW9.jpg
Maa Majhighariani Temple,OD_Rayagada_MaaMajhigharianiTemple,Odisha,Rayagada,Rayagada,19.1562,83.4122,Religious Sites,Here only the face of the Maa MajhiGhariani is worshiped.,Majhighariani Temple is an important shrine for Devi in the Rayagada township of Odisha. It was built by King Vishwanath Dev Gajapati of the Suryavansh dynasty of Nandapur - Jeypore kingdom. It is believed that he made Rayagada his capital and after the construction of the temple and blessings of the goddess he went on to conquer a vast dominion and expanded his kingdom from parts of Bengal to Telangana in south.,"The origin of the Goddess is associated with a historical event dating back to the fourth century A.D. :The Odisha Gazetteer says, Samudragupta invaded Mahakantara, the modern Koraput and Kalahandi tracts. King Vyaghraraj of Mahakantar braved the battle with success. People today believe that he did it with the grace of the Goddess. :The Goddess continued to be worshipped since then as a form of Shakti, energy incarnate. Shakti and the mother figure are synonymous in the mind of a Hindu. Therefore, almost in no time the Goddess was accepted as the universal mother.",https://i.imgur.com/fIvA4tP.jpg,https://i.imgur.com/oJBVZe3.jpg https://i.imgur.com/x69SG3L.jpg https://i.imgur.com/fIvA4tP.jpg
Laxminarayan Temple,OD_Rayagada_LaxminarayanTemple,Odisha,Rayagada,Therubali,19.3289,83.4403,Religious Sites,A very good place with beautiful flowers and a pond aside the temple.,"Famous Laxminarayan Temple situated at IMFA Factory, Therubali. The deities Laxminarayan, Hanuman, Lord Jagannath, Balabhadra and Subhadra and Lord Siva also worshiped by thousands devotees.","Built over 14 years back by the IMFA, the temple is a major attraction of the district.",https://i.imgur.com/WLfFgfg.jpg,https://i.imgur.com/WLfFgfg.jpg https://i.imgur.com/Bp81e1D.jpg https://i.imgur.com/WGQnl64.jpg https://i.imgur.com/FIllnFA.jpg
Hanging Bridge,OD_Rayagada_HangingBridge,Odisha,Rayagada,Chekaguda,19.1002,83.2558,Iconic Places, The bridge is mainly a medium of communication as well as a tourist attraction.,"The Hanging Bridge that connects the two sides of river Nagavali, which providing connectivity to the poor rural tribal population, a 151 metre suspension bridge, the second of its kind in the state. About 20,000-odd tribal villagers residing in nine panchyats, on either sides of the Nagabali river, located at the outskirt of the town has certainly brought them closer to the Rayagada town. ","It is Designed by Karnataka based Bharat Grama Sethu Pratisthan Chief Girish Bhardwaj the work was ascribed to Odisha Police Housing corporation by the district administration, which worked out more than one crore project.",https://i.imgur.com/HpvIFxx.jpg,https://i.imgur.com/HpvIFxx.jpg https://i.imgur.com/1W6Rx3I.jpg https://i.imgur.com/fV5IxPs.jpg
Chatikona Temple and Waterfall,OD_Rayagada_ChatikonaTempleAndWaterfall,Odisha,Rayagada,Chatikona,19.482,83.4577,Religious Sites,Surrounded by the Niyamgiri hills has impeccable natural beauty  and a fantastic waterfall.,"The temple is surrounded by a series of valleys and wooden hills of varying colours and the place is a center of pilgrimage for the temple of Mahadev. It offers picnickers gorgeous view of the waterfall. The Chatikona Falls attracts numbers of tourists and picnickers, and the Shiva temple near it draws pilgrims from all over Odisha, especially during the period of Shivratri, when it can be very crowded. ","While it is an all-weather destination, it is advised to skip the rainy seasons as well as the Shivratri month to avoid congestion. There is no entry fee to view these attractions. ",https://i.imgur.com/6qeZWSn.jpg,https://i.imgur.com/6qeZWSn.jpg https://i.imgur.com/WXULs45.jpg https://i.imgur.com/STYeh8B.jpg https://i.imgur.com/STYeh8B.jpg
Sri Jagannath Temple,OD_Puri_SriJagannathTemple,Odisha,Puri,Puri,19.804977,85.818054,Religious Sites,Ancient hindu temple of lord Jagannath and one among the famous CHAR DHAM in india,"Shree Jagannath Temple is a hindu temple dedicated to lord Jagannath who is a form of Lord Vishnu, situated near the eastern shore of odisha i.e Bay of Bengal. Jagannath(Lord Vishnu), Balabhadra(Lord Balaram) and Subhadra(Goddess Yogmaya) are a trio of dieties along with Sudarshan Chakra(The disc like weapon of lord vishnu)sclupted from neem logs called as DARU sitting on the Ratna Vedi; the decorated platform. The 'RATHA YATRA/RATH YATRA' of Lord Jagannath is world famous, and also make the state and country famous worldwide..","The temple is originally built by King Indradyumna in Satya Yuga.Later in 12th century CE it was rebuilt by Anantavarman Chodaganga, a king of Ganga Dynasty. :Some legends also say, son and grand son of king Anantavarman were also included in the making of this great temple, including  Suryavamsi Gajapati Dynasty.",https://i.imgur.com/9K8euAe.jpg,https://i.imgur.com/ipTswRR.jpg https://i.imgur.com/BKHtR0K.jpg https://i.imgur.com/Yna3IU8.jpg https://i.imgur.com/LXE3bzE.jpg https://i.imgur.com/Lo1AS4r.jpg
Pir Jahania Beach,OD_Puri_PirJahaniaBeach,Odisha,Puri,Astaranga,19.9294052,86.283325,Port & Sea Beach,A nice place for picnic and gathering. Basically its a Mosque surrounded by a clean sea beach,"It is the Shrine of Pir Mukudan jahania Jahagast, a Muslim Saint located near astarang  on the beach. Nice place for picnic and gathering. This place generally remains vacant all the year except winter season. Both hindu and muslim offer worship at the shrine.","There are many legends associated with the mazaar of Saint Makhdum Jahanganst. Some say that the Saint came to India via Baghdad and after a stopover in Bengal and finally settled in Astaranga,Odisha with his disciple’s in the 15th Century AD. :The most popular legend in the area is that a poor man with his son used to visit the Saint to offer his prayer’s. The Saint asked the young boy not to look back on his way back. But one day out of curiosity the little boy did turn back and the Saint vanished the very moment. Devotees built the shrine in his memory. Saint Makhdum Jahanganst’s wooden shoes and umbrella are kept as relics inside the shrine. :The kheer (milk mixed with sugar and boiled rice and boiled till it becomes thick and then allowed to cool) is a special offering and one should try it.",https://i.imgur.com/SRhQpsW.jpg,https://i.imgur.com/XbneuXR.jpg https://i.imgur.com/bCP8DxS.jpg https://i.imgur.com/2imixFE.jpg https://i.imgur.com/j5ld1tg.jpg
Konark Sun Temple,OD_Puri_KonarkSunTemple,Odisha,Puri,Konark,19.8876,86.0945,Religious Sites,An ancient hindu temple dedicated to Lord Surya(Sun) describing  the ancient odia Architecture and engineering,"The temple look like a chariot and it has a appierance of atleast 100meter height chariot with large wheels, and horses carved on huge stones. The inland view during Sunrise and dawn seems like the Chariot emerging from the blue sea carrying the Sun pulled by the set of 7 horses. The astronishing part is how even  the huge sized rocks were carried to the main location, even in the ancient times. The temple was called as 'Black Pagoda' as it acts as a signal to the sailors, because when the temple was initially built the sea water was surrounding it.","The temple was built by the king Langudaa Narasimhadev in 1250 CE ,who belong to Eastern Ganga Dynasty. :History says 1200 carpenters are worked for 12 years to complete the temple,that consumed the tax amount of 12 years and finally the tip of the temple (KALASHA) was placed by a 12 years old child Dharmapada who was the son of chief carpenter Bisu Maharana.The little child Dharmapada sacrificed his life to save the lives of 1200 carpenters,as the king might kill them all after knowing that the little child had fixed the Kalasha in a single attempt that the 1200 skilled carpenters were unable to do even after several attempts.",https://i.imgur.com/QXgNpdk.jpg,https://i.imgur.com/0wci16q.jpg https://i.imgur.com/6c4cXx2.jpg https://i.imgur.com/ssOoISE.jpg https://i.imgur.com/LppABMg.jpg https://i.imgur.com/NsG9F38.jpg https://i.imgur.com/34pupLo.jpg
Kakatpur Maa Mangala Temple,OD_Puri_KakatpurMaaMangalaTemple,Odisha,Puri,Kakatpur,19.999917,86.194794,Religious Sites,"Famous Temple of Maa Mangala ,a form of Goddess Durga","Temple is dedicated to Maa Mangala, who is a form of Goddess Durga.The worship of the Goddess is a basic culture of Odisha.She was before worshipped by the name 'Tara' by buddhists.  Famous festivals celebrated in this temple are Jhamu Yatra, Durga Puja during Dusshera, Basanti Durga Puja.","The myth says Demon Ravan was worshipping Godess Mangala, and after Lord ram defeated him Goddess was taken to odisha from singhala(Srilanka) by a Sadhaba Pua (Those who do bussiness in Coastal islands and countries) and place the goddess at the entrance path to Utkala. but there is no written form of this myth and only believed by the locals. hence its may or may not be correct.",https://i.imgur.com/uHEMvGj.jpg,https://i.imgur.com/QDOpMXK.jpg https://i.imgur.com/UPLOFiR.jpg https://i.imgur.com/HBVryyd.jpg https://i.imgur.com/MvH1NIe.jpg
Gundicha Temple,OD_Puri_GundichaTemple,Odisha,Puri,Puri,19.8167,85.8398,Religious Sites,"Ancient hindu temple named after Queen Gundicha, stays vacant all the year except during Rath Yatra","The Gundicha Temple is named after Queen Gundicha wife of King Indradyumna, the initial creator of Jagannath Temple. This temple is also meant for worshipping Lord Jagannath, his brother Lord Balabhadra and Goddess Subhadra, but only during Rathyatra,for a duration of 7 days. In this period the three dieties are having a visit to this temple and also Mausi Maa temple where Chenapoda, Podapitha (Types of odia cakes and sweets) are offered to the dieties for worshipping purpose. The dieties spend 7 days in this temple and then again return to their original place, thats also a festival called as Bahuda, which is also a part of Ratha yatra. ","A legend links the temple to Gundicha, the queen of Indradyumna (the legendary builder of the main temple) - after whom the Gundicha Temple is named. Gundicha had a peep at the divine image of Jagannath being created by the celestial architect Vishwakarma. Impressed by the image, she insisted on her husband building the temple for the deity and starting the Ratha Yatra. :Another legend suggests that Jagannath was pleased with her temple and promised to visit her house, now the Gundicha Temple. :As per another legend, when Jagannath (identified with the god Krishna) goes to stay for seven days in the Gundicha Temple, he intentionally leaves behind his consort Lakshmi locked up in a store room in the main Jagannath temple. While in the Gundicha temple, he is exclusively taken care by his gopis (cow-herding girls) led by his gopi-lover Radha like Krishna in Vrindavan. The gopis are symbolized by the temple devadasis on this occasion. When Jagannatha returns to his main temple after his amorous dalliance, Lakshmi meets him at the main temple gate and sprinkles some magical powder on him, which makes him forget about his escapade in the Gundicha Temple, and she is immediately reunited with her husband in blissful love.",https://i.imgur.com/fhsH9RN.jpg,https://i.imgur.com/vmN36eh.jpg https://i.imgur.com/Rq3jBvU.jpg https://i.imgur.com/pNTDYQ9.jpg
The Golden Beach,OD_Puri_GoldenBeach,Odisha,Puri,Puri,19.7947,85.8253,Port & Sea Beach,A clean beach with with various rides and games.You will also find many Sand Sculptures (Sand Art) on beach,"Puri Sea Beach is otherwise known as Golden Beach of odisha, present on the shore of Bay Of Bengal. This beach is famous for its scenic beauty.This place is also a Hindu Sacred place. The sunrise view is another speciality of this place.",Every year Annual Puri Beach Festival that is Co-sponsored by Indian Ministry of Tourism.,https://i.imgur.com/OiLKTh6.jpg,https://i.imgur.com/FTbJtqL.jpg https://i.imgur.com/5WvwJsE.jpg https://i.imgur.com/UufdMoD.jpg https://i.imgur.com/inT264R.jpg https://i.imgur.com/XjJBJqV.jpg
Chandrabhaga Beach,OD_Puri_ChandrabhagaBeach,Odisha,Puri,Konark,19.854521,86.074573,Port & Sea Beach,"India's first beach to get ""Blue Flag Certification"" located on the shore of Bay of bengal, near konark Sun Temple","This beach is also the part of Bay Of Bengal located near Konark Sun Temple. This beach is considered to be a place for natural curing for lepers. This beach is India's first beach to be certified by 'Blue Flag Certificate' - a tag given to environment friendly clean beaches, having facilities of international standards for tourists. Sunrise and dawn view of this place is scenic.","Mythology Says ""Chandrabhaga"" the daughter of a sage one had attraction of Lord Son with her Magical Charm and the God arrived to seek her hand in love. But she denied after which God Sun chased after her and the frightened Chandrabhaga jumped into the river. :As the mark of a tribute to her sacrifice, every year on the 7th day of full moon fortnight of Magha month, people from all over the state arrive there to have a holy dip in the river.",https://i.imgur.com/9dbSMzL.jpg,https://i.imgur.com/ZXmw3WO.jpg https://i.imgur.com/X9bcI1W.jpg https://i.imgur.com/8zt3eNd.jpg https://i.imgur.com/tebhcre.jpg
Patora Dam,OD_Nuapada_PatoraDam,Odisha,Nuapada,Patora,20.718333,82.462222,Dams & Water Reservoirs,On the bank of river Jonk is place of uncommon scenic charms. Engirdled on all sides by green clad hills,It holds in its bosom and irrigation project and culture dating back to pre-Christian era at Manikgarh. This is the Dam site of the Upper Jonk Irrigation Project situated at a distance of 20Km from the Dist Hqr. This place is also famous for Yogeswar Temple. This place has the potential of a tourist centre in future.,There is a lot of scope for Boating in the Reservoir of the U.J.I.P. On the left of the dam down the slopes of hill sprawls a replica of the Brundaban Garden. Recline on the velvety grass and enjoy nature in its aesthetic form.,https://i.imgur.com/v5nrfgU.jpg,https://i.imgur.com/H1STD19.jpg https://i.imgur.com/e0jil7n.jpg https://i.imgur.com/TLMxyWJ.jpg
Sri Raghunath Jew Temple,OD_Nayagarh_SriRaghunathJewTemple,Odisha,Nayagarh,Odagaon,20.025957,84.980761,Religious Sites,Holy Hindu Temple of Lord Shree Ram,"Odagaon is known for the Temple of Lord Raghunathjew. It is one of the renowned sanctuaries in Odisha devoted to Lord Ramachandra. This sanctuary has delightful wooden symbols of Sri Raghunath, Sita and laxman cherished in it. The Kalash of the sanctuary is made of unadulterated gold. Ramanavami is the most significant celebration praised here.","This temple was built around 1903. A mainstream legend related with sanctuary expresses that well known artist of seventeenth century, Kavisamrat Upendra Bhanja, had created his perfect work of art Baidehisha Vilas, here at the feet of Sri Raghunath. It is said that the eminent writer of Odisha, Upendra Bhanja intervened here and achieved flawlessness in the Rama Taraka Mantra.",https://i.imgur.com/dNOFm8a.jpg,https://i.imgur.com/j25qWQa.jpg https://i.imgur.com/B47EIAa.jpg https://i.imgur.com/WC99npD.jpg https://i.imgur.com/Mf4ift5.jpg
Panikhia Waterfall,OD_Nayagarh_PanikhiaWaterfall,Odisha,Nayagarh,Nayagarh,19.9572,85.1222,Waterbodies,A newly discovered waterfall in simili area of Nayagarh,"Panikhia Waterfall also known as Simili waterfall is one of the most lovely cascade of odisha, located in nayagarh district.This delightful cascade is encircled by high scope of khallikote profound woods. This is a recognizable spot for outing during winter season. Odisha Tourism is yet to confirm this place as a tourist spot.",This naturally beautiful waterfall is surrounded by high range of khallikote deep forest. This place is very familiar for picnic during winter season.,https://i.imgur.com/F18jrVP.jpg,https://i.imgur.com/NKoKIA8.jpg https://i.imgur.com/C3guHbc.jpg https://i.imgur.com/wajQfUa.jpg
