Place Name,Place Id,State,District,City,Latitude,Longitude,Type,Short Description,Long Description,Did You Know,Main Image,Other Images
Raj Ghat,DL_NorthEastDelhi_RajGhat,Delhi,North East Delhi,New Delhi,28.6406,77.2495,Iconic Places,Raj Ghat is a memorial dedicated to Mahatma Gandhi,"Raj Ghat is a memorial dedicated to Mahatma Gandhi in Delhi, India. Originally it was the name of a historic ghat of Old Delhi (Shahjahanabad). Later the memorial area was also called Raj Ghat. It is a black marble platform that marks the spot of Mahatma Gandhi's cremation, Antyeshti (last rites) on 31 January 1948, a day after his assassination. It is left open to the sky while an eternal flame burns at one end. Several other samadhis or cremation spots of other famous leaders can be found in the vicinity of Raj Ghat. ","Raj Ghat is a memorial to Mahatma Gandhi. It’s located not far from the river Yamuna and was originally the name of a historic ghat. There was the ‘Raj Ghat Gate’ of the walled city, opening at Raj Ghat on the Yamuna. Eventually, the memorial area was also called Raj Ghat. :It was here where Mahatma Gandhi’s last rites were performed on January 31, 1948, a day after his death.",https://i.imgur.com/IP0aMx7.jpg,https://i.imgur.com/oeKOLEw.jpg https://i.imgur.com/5q2MSMm.jpg https://i.imgur.com/W9dU0S6.jpg https://i.imgur.com/zsNkBvb.jpg https://i.imgur.com/9TRDg3t.jpg https://i.imgur.com/xeu6DzU.jpg 
Nehru Planetarium,DL_SouthWestDelhi_NehruPlanetarium,Delhi,South West Delhi,New Delhi,28.6038,77.1981,Education & History,One of the 5 Planetariums named after Jawaharlal Nehru-First Prime Minister of India,"Nehru Planetarium Delhi is one of the five planetariums named after India’s first Prime Minister Jawaharlal Nehru. The Sky Theatre shown at Jawaharlal Nehru Planetarium are very popular and attracts more than 200,000 visitors per year. The sky theatre is a dome shaped theatre. It shows information on constellations and planets. Visuals such as cartoons, paintings, computer animations, video clippings and special effects are liberally used in the programmes at the sky theatre. It now has 'Definiti optical star projector ""Megastar"" that can show 2 million stars.","It was earlier the official residence of Prime Minister JawaharLal Nehru, which is now converted into a museum in his fond memories. :The museum was built as an initiative from the Jawaharlal Nehru Memorial Fund, that was set up in 1964. :With the aim of promoting Astronomy education in India, the Jawaharlal Nehru fund took the task of setting up the Nehru Planetarium. The planetarium was inaugurated by the then Prime Minister Smt Indira Gandhi on 6th February 1984. :This place is not only an attraction for the astronomers but also kids who throng to get up close and personal with the planets and stars in the sky.",https://i.imgur.com/jmDSD52.png,https://i.imgur.com/G1AeoLe.jpg https://i.imgur.com/S74Oy00.jpg https://i.imgur.com/e2S29NT.jpg https://i.imgur.com/hba7v00.jpg 
National Museum  ,DL_NorthEastDelhi_NationalMuseum  ,Delhi,North East Delhi,Rajpath,28.6118,77.2193,Education & History,One of the largest museums holding a variety of articles ranging from pre-historic era to modern works of art,"National Museum of India, is one of the largest museums in India. Established in 1949, it holds a variety of articles ranging from pre-historic era to modern works of art. The museum has around 200,000 works of art, both of Indian and foreign origin, covering over 5,000 years. The museum has various artefacts from the Harappan Civilization also known as Indus Valley Civilization. It has the world's most representative collection of antiquities of the Harappan Civilization. Most famous among the objects is the Dancing Girl made in Bronze, Skeleton excavated from Rakhigarhi in Haryana and many more.","The blueprint for establishing the National Museum in Delhi was prepared by the Maurice Gwyer Committee in May 1946. :On August 15, 1949, the National Museum, New Delhi, was inaugurated in the Rashtrapati Bhawan by Shri R.C. Rajagopalachari, the Governor-General of India. The foundation of the present building was laid by Pandit Jawaharlal Nehru, the Prime Minister of India, on May 12, 1955. :The first phase of the National Museum building was formally inaugurated by Dr. Sarvepalli Radhakrishnan, the Vice President of India, on December 18, 1960. The second phase of the building was completed in 1989. :The National Museum was initially looked after by the Director General of Archaeology until 1957, when the Ministry of Education, Government of India, declared it a separate institution and placed it under its own direct control. At present, the National Museum is under the administrative control of the Ministry of Culture, Government of India.",https://i.imgur.com/zfCh5RG.jpg,https://i.imgur.com/zwQ4lkX.jpg https://i.imgur.com/U0iEODJ.jpg https://i.imgur.com/Vf6GmML.jpg https://i.imgur.com/68kERd6.jpg https://i.imgur.com/gqKf7do.jpg https://i.imgur.com/Ky6O5Lg.jpg https://i.imgur.com/C3v8VIc.jpg
Hauz Khas ,DL_SouthDelhi_HauzKhas,Delhi,South Delhi,Hauz Khas,28.5479,77.2031,Iconic Places,A beautiful neighbourhood of South Delhi and is one of the major tourist places in Delhi,"The pulse of Hauz Khas is known to be the historically important Hauz Khaz Complex. It exhibits both rural and urban atmosphere and also known as mehak ka chota quila. The location is surrounded by Green Park to the west and Gulmohar Park towards the north. It had witnessed different diplomatic missions like the Albania, Iraq, Guines, Burundi, Macedonia Missions and more. Its name started achieving appreciation from the outer world due to the presence of an ancient water reservoir by the same name. It is now part of the huge Hauz Khas complex.",Hauz Khas possesses the yellow line of the Delhi Metro railway and this is the easiest way to connect to Delhi’s other parts. :Hauz khas social is café-cum-restaurant-cum-co-working space.,https://i.imgur.com/inFlTMs.jpg,https://i.imgur.com/inFlTMs.jpg https://i.imgur.com/tuVtfVl.jpg https://i.imgur.com/myI4sDt.jpg https://i.imgur.com/2ZRRxiJ.jpg https://i.imgur.com/q2lN9pa.jpg https://i.imgur.com/iKkIn9F.jpg https://i.imgur.com/m7y6BVb.jpg 
National Crafts Museum,DL_SouthDelhi_NationalCraftsMuseum,Delhi,South Delhi,Pragati Maidan,28.6136,77.2425,Iconic Places,One of the largest crafts museums in India,"The National Handicrafts and Handlooms Museum (NHHM) is one of the largest crafts museums in India. Various galleries within the museum include the Tribal and Rural Craft Gallery, Gallery of Courtly Crafts, Textile Gallery, Gallery of Popular Culture etc. The museum is popular for an exhaustive collection of textiles. The museum also houses a village complex spread over 5-acre (20,000 m2), with 15 structures representing village dwellings, courtyards and shrines from different states of India, with items of day-to-day life displayed.","It was set up over a period of 30 years starting in the 1950s and 60s by the efforts of Kamaladevi Chattopadhyay, when the area was envisaged as an ethnographic space where craftsmen from various parts of India would come in to work towards preservation of various traditional arts and crafts. :By the 1980s it already had a substantial collection, and in time the museum space gradually evolved and transformed into its present shape.:Today the museum holds over 35,000 rare and distinctive pieces reflecting the continuing tradition of Indian craftsmen through painting, embroidery, textiles, various crafts of clay, stone and wood, all housed in a building designed between 1975 and 1990 by architect Charles Correa, incorporating traditional architectural vocabulary into a modern design.",https://i.imgur.com/k1CNshb.jpg,https://i.imgur.com/k1CNshb.jpg https://i.imgur.com/AMGPKYc.jpg https://i.imgur.com/xalTSub.jpg https://i.imgur.com/0Arh4pw.jpg https://i.imgur.com/vb5BPJo.jpg https://i.imgur.com/WGQsq0o.jpg https://i.imgur.com/yfubMeV.jpg https://i.imgur.com/jd2ewJr.jpg https://i.imgur.com/7N5I5Kd.jpg https://i.imgur.com/diCIigM.jpg https://i.imgur.com/LOfrq7G.jpg
Shankar’s International Dolls Museum,DL_CentralDelhi_Shankar’sInternationalDollsMuseum,Delhi,Cenral Delhi,Bahadur Shah Zafa Marg,28.63052,77.24149,Education & History,Largest Doll Museum Of India,"The collections of dolls are classified into two parts. One part consists of the dolls collected from European countries and the other section consists of dolls collected from other Asian countries.The main collections of Dolls Museum are of 150 types of Indian costume dolls created at the own workshop of the museum which is located inside the museum. The craftsmen create the dolls with utmost perfection to create a symphony of the physical features, costumes and ornaments. In the pageant are characters from India's unique classical dance, Kathakali, with its lavish costumes.","K. Shankar Pillai (1902–1989), noted cartoonist, set up Children's Book Trust, a pioneering work in the field of children's literature in India, in 1957. Later, a gift of a doll from a Hungarian diplomat gave Shankar the idea of collecting dolls from countries he visited. :Dolls Museum is one of the most renowned museums in New Delhi which has a huge collections of dolls from across the globe. :The museum covers an area of 5,184.5 square feet (481.66 m2). :The former President of India, Dr. S. Radhakrishnan inaugurated the Dolls Museum and at the inauguration time the number of dolls was only 500. :In between 1965 and in 1987, the number of dolls has risen to 5,000, a vast majority coming as gifts. Shankar Pillai was honoured with the Padma Vibhushan, India's second highest civilian award by Government of India in 1976.:Today the volume has increased to 6,500 exhibits from almost 85 countries, adding to its international character.",https://i.imgur.com/hoG69cC.jpg,https://i.imgur.com/hoG69cC.jpg https://i.imgur.com/e57eKwv.jpg https://i.imgur.com/GFYtFSo.jpg https://i.imgur.com/q54YI9l.jpg https://i.imgur.com/j6R0rUI.jpg https://i.imgur.com/RrlRGXn.jpg https://i.imgur.com/33vssKW.jpg
Garden Of Five Senses,DL_SouthDelhi_GardenOfFiveSenses,Delhi,South Delhi,Said-Ul-Azaib village,28.51334,77.19756,Iconic Places,"A space with a variety of activities, inviting public interaction and exploration","A park sprawling across 20 acres of land is the Garden of Five Senses in Delhi located in Saidul Ajaib village near the Mehrauli heritage area. There are pools of water lilies, bamboo courts, herb gardens, solar energy park etc. The garden was established with the aim of stimulating our five senses with the beauty of the Serenity and the attractions around the garden will let us experience all the senses by touching, smelling, hearing and seeing. This garden is also an important venue for cultural events as different programs have been conducted here round the year.","It took three years approximately to come into existence and was inaugurated in 2003. It is built on a rocky terrain with different thematic areas in the garden including a separate section on the lines of Mughal Gardens. :The garden houses Khas Bagh, flower shows, fountains, water cascades, food court, shopping centre, different sculptures etc within it to attract thousands of tourists and natives to spare time with beauty at its best.",https://i.imgur.com/muDKOLN.jpg,https://i.imgur.com/muDKOLN.jpg https://i.imgur.com/8Uuonfk.jpg https://i.imgur.com/tl8OlbA.jpg https://i.imgur.com/gQCiKqD.jpg https://i.imgur.com/yuKNg7H.jpg https://i.imgur.com/DYeFuDF.jpg https://i.imgur.com/0Yr6tsB.jpg https://i.imgur.com/2yAKKo8.jpg 
Pragati Maidan,DL_SouthDelhi_PragatiMaidan,Delhi,South Delhi,Mathura Road,28.61895,77.24417,Garden & Parks,A venue for large exhibitions and conventions in New Delhi,"The Pragati Maidan situated on the Mathura road is an exhibition cum complex center with a total area of around one hundred and fifty acres. Well equipped with paved lawns, roads, outlets and gardens, Pragati Maidan is known as progress ground and is highly renowned fostering it with the title of being one of the best tourist places in Delhi. Housing around sixteen vast and voluminous halls in total, Pragati Maidan is considered to be the largest exhibition centers in Delhi.","This complex houses five permanent exhibitions which include the Nehru Pavalion, Atomic Energy and Defense Pavilion. Some of the events held in Pragati Maidan are the India International Trade Fair, World Book Fair and the Auto Expo. :The two-week-long India International Trade Fair (IITF) begins here each year on 14 November.:The overall layout and project was designed by architect Raj Rewal .It was inaugurated on 3 November 1972 by then Prime Minister Indira Gandhi, on the eve of the International Trade Fair called Asia 72. The venue and the event were meant to celebrate 25 years of India's Independence.",https://i.imgur.com/9EQRYdW.jpg,https://i.imgur.com/9EQRYdW.jpg https://i.imgur.com/NlsEeJt.jpg https://i.imgur.com/HTZbPDs.jpg https://i.imgur.com/4llR7JU.jpg https://i.imgur.com/EHq6mr7.jpg https://i.imgur.com/Mh7n7xE.jpg 
Indian War Memorial Museum,DL_NorthEastDelhi_IndianWarMemorialMuseum,Delhi,North East Delhi,India Gate,28.6561,77.241,Iconic Places,A tribute to commemorate the soldiers who had joined the First World War in India or abroad on behalf of the British Empire,The Indian War Memorial Museum is located in the Naubat Khana of the Red Fort in Delhi; is built in 1919 as a tribute to commemorate the soldiers who had joined the First World War in India or abroad on behalf of theBritish EmpireThe museum is located on the first and second floor of the drum house. It contains several galleries pertaining to the military history of India during the first and second world war.,"Items that are on display is a diorama of the Battle of Panipat (1526), in which Babur defeated the forces of Ibrahim Lodi and established the Mughal Empire. Further objects on display are traditional weapons such as daggers and gupti, as well as arms and helmets. The advent of the industrialisation brought in new weapons such as machine guns and grenades. :Various badges, ribbons, and uniforms of Turkish and New Zealand army officers, and flags are also on display.The dress of Maharaja Pratap Singh of Idar, a renowned soldier and military man, is displayed, which includes the kurta (long shirt), belt, trouser, turban with zari work, shoes and inscribed sword with sheath.",https://i.imgur.com/X4hKMlK.jpg,https://i.imgur.com/X4hKMlK.jpg https://i.imgur.com/aAICd7x.jpg https://i.imgur.com/y5Fr64C.jpg https://i.imgur.com/B1fyQhI.jpg https://i.imgur.com/P8Q2qvU.jpg https://i.imgur.com/swpCdWt.jpg https://i.imgur.com/PL7N1LJ.jpg https://i.imgur.com/JtOIfFX.jpg 
Indian Air Force Museum,DL_NewDelhi_IndianAirForceMuseum,Delhi,New Delhi,Palam,28.574,77.1167,Iconic Places,A museum of the Indian Air Force,"It is the museum of the Indian Air Force. The Museum entrance features an indoor display gallery that contains historic photographs, memorabilia, uniforms and personal weapons of the Indian Air Force from its inception in 1932. The gallery leads to a hangar exhibiting small aircraft and Air Force inventory including anti-aircraft guns, vehicles and ordnance. Larger aircraft are exhibited outside the hangar. This outdoor gallery contains aircraft that also displays several war trophies, radar equipment and captured enemy vehicles.","The museum was the only one of its kind in India until the opening of the Naval Aviation Museum in Goa in 1998 and HAL Aerospace Museum in Bangalore in 2001. :It stores the rich history of IAF. It is actively managed by AVM Vikram Singh, a second generation test pilot, enthusiastically keen historian and an avid writer of war books.",https://i.imgur.com/QV8pPb9.jpg,https://i.imgur.com/QV8pPb9.jpg https://i.imgur.com/i0UwS1R.jpg https://i.imgur.com/yfAl9WX.jpg https://i.imgur.com/Jcg6pX7.jpg https://i.imgur.com/PmRFEis.jpg https://i.imgur.com/02Dh7ab.jpg https://i.imgur.com/MTQ74wG.jpg https://i.imgur.com/ZFYWosc.jpg 
Parliament House,DL_NorthEastDelhi_ParliamentHouse,Delhi,North East Delhi,Gokul Nagar,28.61717,77.2082,Education & History,The house of the Parliament of India,"Also known as Sansad Bhavan is the house of the Parliament of India, which contains the Lok Sabha and the Rajya Sabha located in New Delhi. The shape of the building is circular, which is based on the Chausath Yogini temple. At the centre of the building is the Central Chamber, and surrounding this are the semicircular halls that were constructed for the sessions of the Chamber of Princes (now used as the Library Hall), the State Council (now used for the Rajya Sabha), and the Central Legislative Assembly (now used for the Lok Sabha).","The building, an 85-year-old structure suffers from inadequacy of space to house members and their staff and is thought to suffer from structural issues. The building also needs to be protected because of its heritage. :On August 5, 2019, the Vice president and chairperson of the upper house of Indian parliament (Rajyasabha) Venkaiah Naidu proposed to Prime Minister Narendra Modi to have a new building for the Parliament. :In January 2020,Lok Sabha speaker Om Birla announced that parliament will be holding its sessions in a new building in 2022 when country would celebrating its 75th independence day.",https://i.imgur.com/l4sIViV.jpg,https://i.imgur.com/l4sIViV.jpg https://i.imgur.com/jWUpRbV.jpg https://i.imgur.com/iINkl7h.jpg https://i.imgur.com/32tX9tK.jpg https://i.imgur.com/zjp905j.jpg https://i.imgur.com/YbwLfj5.jpg 
Guru Tegh Bahadur Memorial,DL_NorthWestDelhi_GuruTeghBahadurMemorial,Delhi,North West Delhi,Singhu,28.85412,77.12658,Iconic Places,Tourist attraction dedicated to the ninth Guru of Sikhism,"This complex has been constructed in the area of 11.87 acres with a 24 meter high central pylon with petals at the base represents the Guru & his strength and the three “C” arches denote his three followers and the monoliths represent the 10 Sikh Gurus’ with their sayings inscribed on them.Guru Tegh Bahadur Memorial complex set up as a tourist attraction is dedicated to the ninth Guru of Sikhism, Guru Teg Bahadur. In the landscape tranquil background, the 24 meter high central pylon with petals at the base represents the Guru and his strength.","The following facilities are available at Guru Teg Bahadur Memorial for the visitors-Green lawns for picnic,Conference Room [AC/Non-AC] with a capacity of 100 person,Cafeteria,Venue for Birthday Parties,Day outing for children,Religious Functions.:Delhi Tourism operates Sound & Light Show of approx 26 mins at GTB Complex which is reverent, informative and entertaining spectacle using installation art as a medium. The Show is themed around “Panchtatva” - the five elements (Void, Fire, Air, Water and Earth) and is a tribute to the indomitable personality Guru Teg Bahadur as an inseparable part of the city’s history.",https://i.imgur.com/CtqK1x9.jpg,https://i.imgur.com/CtqK1x9.jpg https://i.imgur.com/ZBqiv9v.jpg https://i.imgur.com/Xnx7dMR.jpg https://i.imgur.com/WLntbFB.jpg https://i.imgur.com/id6VMEt.jpg
National Gallery Of Modern Art,DL_NorthEastDelhi_NationalGallaryOfModernArt,Delhi,North East Delhi,India Gate,28.61021,77.23439,Education & History,A premier art gallery run by the Ministry of Culture,"It was established on March 29, 1954. The gallery displays a large collection of more than 14000 works done by various artists from different parts of the world. There are sculptures, paintings and much more preserved in the gallery for years. Some works here date back to 1857 also. The gallery possesses an area of 12000 square meters for exhibition. It was formerly the residential palace of the Maharaja of Jaipur and hence it got the name Jaipur House. The building has a butterfly shape with a central dome. The construction happened in 1936 and the brain behind it was Sir Arthur Blomfield.","The idea of the gallery was spreading around in 1949 but its official inauguration was done by the Vice President Dr. S. Radhakrishnan in 1954. Hermann Goetz who was a famous art historian from Germany was its first curator.: A new addition or a wing to the gallery came in 2009. Now there is a new auditorium, a preview theatre, conservation laboratory, library and an academic section.",https://i.imgur.com/tVqY0tX.jpg,https://i.imgur.com/tVqY0tX.jpg https://i.imgur.com/JQuS16g.jpg https://i.imgur.com/3Kk38Qy.jpg https://i.imgur.com/j1Xhsoe.jpg https://i.imgur.com/Km1FxR7.jpg https://i.imgur.com/U6wvUd9.jpg https://i.imgur.com/VV9uxET.jpg 
National Police Memorial,DL_NewDelhi_NationalPoliceMemorial,Delhi,New Delhi,Chanakyapuri,28.60371,77.19463,Iconic Places,Memorial in India commemorates martyred police personell from all over India,"Memorial in India commemorates the 34,844 police personnel from all of the central and state police forces in India who have died in the line of duty since the nation's Independence in 1947. The memorial consists of a 30-foot tall and 238-tonne heavy black granite central sculpture, a museum and a 'Wall of Valour' bearing the names of all 34,844 police personnel who have died in the line of duty. The underground museum is the first police museum of its kind in India, and showcases over 2000 years of policing in the region, since the time of Kautilya's system of law and order in 310 BCE.","The renovated and refurbished memorial and museum was inaugurated by the prime minister, Narendra Modi, on 21 October 2018, which is also the Police Commemoration Day in India. :This museum takes us into the world of thrill and sensation as museum contains several thought provoking items all related to police, Crime & Criminals, from the ancient to the modern times. :Exhibited items are acquired from different states and central police organizations both of Indian and Foreign Origin.",https://i.imgur.com/JMEtMhm.jpg,https://i.imgur.com/JMEtMhm.jpg https://i.imgur.com/flvoX1t.jpg https://i.imgur.com/4V1Q4Xs.jpg https://i.imgur.com/wHFqfbH.jpg https://i.imgur.com/CHTHV3A.jpg 
National Zoological Park,DL_SouthDelhi_NationalZoologicalPark,Delhi,South Delhi,Mathura Road,28.60674,77.24541,Zoos & Reserves,Most popularly known as the Delhi Zoo,"In the middle of a vibrant city lies a 16th century citadel, a green island and a great collection of rare flora and fauna. Around 1350 animals are protected inside the zoo, of different species and families. You can also book best wildlife tour in Delhi to explore the beauty of nature and the wild life. Walking through the beautiful zoo is a relishing activity for a day out in Delhi one can do or you can explore it with the help of a battery operated vehicle that can be arranged on rent at the zoo. Also, the visitors are not allowed to bring their own food inside the premises except water but you will get food at the canteen situated in the zoo.",It was inaugurated in November 1959. The zoo was in news is 2012 as one man fell into the white tiger’s zoo and got killed by one white tiger. Then the safety and security measures of the zoo were under questions. :Though initially Major Aubrey Weinman of the Ceylon Zoological Garden was asked to do the plans for the zoo but he could not do it and later Carl Hagenbeck of the Zoological Garden of Hamburg was approached by the Indian Government and thus he helped the Government with the preliminary plan of the zoo.:The construction was started in 1956 and the northern part of the zoo was completed by 1959. The official name as the National Zoological Park was given to the zoo in 1982 with the aim to make it a model for other zoos in the country to develop.,https://i.imgur.com/toxIBko.jpg,https://i.imgur.com/toxIBko.jpg https://i.imgur.com/T2Y7XG9.jpg https://i.imgur.com/i1UiyPm.jpg https://i.imgur.com/ls1uMcN.jpg https://i.imgur.com/3lNAIsv.jpg 
Waste to Wonder Park,DL_SouthEastDelhi_WasteToWonderPark,Delhi,South East Delhi,Sarai Kale Khan,28.59271,77.25684,Garden & Parks,A Park consisting dummy replicas of 7 wonders of  the world,"Housing the replicas of the seven classical wonders of the world, this is one of the famous attractions in Delhi.The Statue of Liberty, the Eiffel Tower, the Colosseum, and India’s very own Taj Mahal along with the other wonders are exquisitely built out of pipes, metallic sheets, scrap angles, and various other waste materials. The park entirely built with the motive of conserving the environment also uses solar and wind energy for lighting purposes during the evening. Enjoy the dreamlike setting and keep your cameras ready for some enthralling pictures.","As the name suggests, this park is created out of industrial and various other waste materials and it will indeed leave you speechless with wonder.",https://i.imgur.com/MNkSWR4.jpg,https://i.imgur.com/MNkSWR4.jpg https://i.imgur.com/LNOQEP0.jpg https://i.imgur.com/wIIDIy6.jpg https://i.imgur.com/WW6Y5TD.jpg https://i.imgur.com/GyaafJp.jpg
Agrasen Ki Baoli,DL_NewDelhi_AgrasenKiBaoli,Delhi,New Delhi,Hailey Road,28.62603,77.22504,Iconic Places,An ancient step well made by Legendary King Agrasen,"It is said to be built by the legendary king Agrasen and it was rebuilt in the 14th century by Agrawal community. Baoli is referred to Jassi or bauri. In Rajasthan and Gujarat, words for step well sounded like baoli, bavadi, vav etc.India is quite famous for its water temples and step wells and this particular step well has 108 steps and a major example for the architectural brilliance of ancient Indians. There are three levels placed at the visible parts of the step well. Each level had arched niches on either side of it. Even, there are stories saying the well is haunted but it never proved to be true.",The super hit Bollywood film PK gave a supreme turning point for an important architectural monument of India that is Agrasen ki Baoli in Delhi. :It is a protected monument under the control of the Archaeological Survey of India. :Agrasen ki Baoli is a 60 meter long and 15-meter wide historical step well on Hailey Road near Connaught Place and it is one of the fun places in north Delhi.,https://i.imgur.com/Pudsd10.jpg,https://i.imgur.com/Pudsd10.jpg https://i.imgur.com/KoIWJa2.jpg https://i.imgur.com/jD6XDr2.jpg https://i.imgur.com/Juncw2O.jpg
Laxminarayan Temple,DL_NewDelhi_LaxminarayanTemple,Delhi,New Delhi,Gole Market,28.63268,77.19901,Religious Sites,A famous ancient Temple dedicated to Lord Vishnu,"The Laxminarayan Temple In Delhi also known as Birala Temple. Birla Mandir is a common name for different Hindu temples built by the Birla family at different locations in India. Birla Mandir in Delhi was built in 1939 and it was the first in a row and later many temples were built in different cities by the different branches of the family. The Delhi temple was designed to be spacious and beautiful along with the proper arrangements for congregational worship and discourses. Though it possesses modern technologies, the architecture remembered to include the Nagar style.","The Birla Temple in Delhi is dedicated to Laxminarayan who is referred to Lord Vishnu. The temple was inaugurated by Mahatma Gandhi as the construction was finished in 1939 by Baldeo Das Birla and his sons. There are side temples which are dedicated to Shiva, Krishna, and Buddha. :The temple extends up to 7.5 acres and flanked by many shrines, fountains, a large garden that displays many Hindu and nationalistic sculptures as well as a Geeta Bhavan for discourses.",https://i.imgur.com/AWARxEd.jpg,https://i.imgur.com/AWARxEd.jpg https://i.imgur.com/Mcz9DL8.jpg https://i.imgur.com/cWfqK3V.jpg https://i.imgur.com/J49Anli.jpg https://i.imgur.com/WWuJIIb.jpg https://i.imgur.com/uJlWbjb.jpg 
Feroz Shah Kotla Fort,DL_NorthEastDelhi_FerozShahKotlaFort,Delhi,North East Delhi,Vikram Nagar,28.6352,77.2449,Iconic Places,An Historic Fotress made by Sultan Feroz Shah,Kotla is the name people of Delhi simply call the famous historic figure the Feroz Shah Kotla in Delhi. It was fortress built by Sultan Feroz Shah Tughlaq to obtain his version of Delhi city named Ferozabad. The fortress looked amazingly stunning- a polished sandstone Topra Ashokan pillar is standing tall in the fortress and it is one of the best places to visit in east Delhi. It was one of the many pillars left by the Mauryan emperor. It was re-erected at the fort as per the orders of Firoz Shah after it was abandoned and left alone in Topra Kalan in Pong Ghati.,"The obelisk has several inscriptions and the original ones is in Brahmi script along with some Pali and Sanskrit inscriptions added much later. James Prinsep in 1837 had successfully translated those inscriptions. :Apart from the pillar, the fortress also accommodates the Jami Masjid, a baoli and a large garden complex. :As years passed, the fortress had to undergo several destructions due to the battles between emperors and now what is remaining is some ruins of the proud fortress.",https://i.imgur.com/bd7C4Qv.jpg,https://i.imgur.com/bd7C4Qv.jpg https://i.imgur.com/NnUHZx5.jpg https://i.imgur.com/BCegjh0.jpg https://i.imgur.com/AEFxjWx.jpg https://i.imgur.com/NpIlqz8.jpg https://i.imgur.com/lqBaFKG.jpg
Safdarjung Tomb,DL_SouthDelhi_SafdarjungTomb,Delhi,South Delhi,Rajiv Gandhi Bhawan,28.58933,77.2106,Iconic Places,A famous attraction that is made of sandstone and marble mausoleum that came into existence in 1754,"The late Mughal Empire style is depicted for the statesman of Safdarjung. It extends a special ambiance with it's domed and arched red-brown and white coloured structures. Safdarjung was the prime minister of the Mughal Empire in 1748. The Tomb of Safdarjung designed by an Abyssinian architect. Near to the tomb, almost to the south is the historic site of the battle that happened between Timur of Mangol and Mohammed Tughlaq in 1386.","The tomb was the last monumental tomb Garden of the Mughals and it was built like an enclosed garden tomb in resemblance with the style of Humayun’s tomb. :The main features of the tomb are the Char Bagh plan with the mausoleum at the center, a nine-fold floor plan, a five-part façade and a large podium along with a hidden stairway.",https://i.imgur.com/bHJbsB2.png,https://i.imgur.com/bHJbsB2.png https://i.imgur.com/Z8aP2At.jpg https://i.imgur.com/rhhXGK6.jpg https://i.imgur.com/zC8pmU4.jpg https://i.imgur.com/XvIkAO6.jpg 
Iskcon Temple,DL_NewDelhi_IskconTemple,Delhi,New Delhi,Sant Nagar,28.5561,77.2538,Religious Sites,A famous and one of the most beautiful ISKON temples,"For the believers in Lord Krishna, this an excellent place to visit, It is a very well maintained and clean premises which exhibits divinity with simplicity. In the ornings after theArti, there is a discourse on teachings of the Bhagvad gita,The Govinda restaurant serves buffet lunch and dinner which is a lavish spread of vegetarian dishes. A must visit for all Krishna lovers.","This Iskcon Temple dwarfs the southern skyline zone of Delhi. Originally initiated by Bhaktivedanta Prabhupada, ISKCON is an association belonging to Hare Rama Hare Krishna foundation.",https://i.imgur.com/y0nVbAi.jpg,https://i.imgur.com/y0nVbAi.jpg https://i.imgur.com/EJtn0Sq.jpg https://i.imgur.com/whCMH2K.jpg https://i.imgur.com/oAbPa6H.jpg https://i.imgur.com/UuttyBi.jpg
Purana Qila,DL_SouthDelhi_PuranaQila,Delhi,South Delhi,Mathura Road,28.60956,77.24375,Iconic Places,One of the oldest and important forts in Delhi,"Old Fort is the English meaning of Purana Qila, one of the oldest and important forts in Delhi. It was built by Sher Shah Suri who is believed to be the founder of the Sur Empire. He has erected the citadel of Purana Qila along with a spacious city area around it. It was said that even during the death of 1545, the fort was incomplete and perhaps it was completed by Islam Shah, the son of Sher Shah.The Archaeological Survey of India had done some excavations at the area and have unearthed Painted Grey Ware dating back to 1000 BCE.","The camp was functional till 1948. The ramparts of the fort were used as the backdrops for many plays later in 1970s. Tughlaq, Andha Yug and Sultan Razia were those plays. :Afterwards, it has been the regular centre for theatre productions, cultural events, concerts etc. There is a daily sound and light show after sunset at the fort regarding the history of the seven cities of Delhi.",https://i.imgur.com/xx5zi4m.jpg,https://i.imgur.com/xx5zi4m.jpg https://i.imgur.com/NdPDwHe.jpg https://i.imgur.com/7fcntsS.jpg https://i.imgur.com/VZUz9Ta.jpg https://i.imgur.com/Gs4aMI1.jpg
Nizamuddin Dargah,DL_NewDelhi_NizamuddinDargah,Delhi,New Delhi,"Nizamuddin East,",28.59139,77.24185,Religious Sites,"It is a mausoleum of one of the famous Sufi saints, Hazrat Khwaja Syed Nizamuddin Auliya","The complex is comprised of the tombs of poet Hazrat Amir Khusro and the Mughal princess Jehan Ara Begum and also, the tomb of Inayat Khan is located in the corner. Hazrat Nizamudin Dargah or simply called Nizamuddin Dargah in Delhi is a famous tourist destination in India. It is a mausoleum of one of the famous Sufi saints, Hazrat Khwaja Syed Nizamuddin Auliya who lived from 1238 to 1325. It is situated in the Hazrat Nizamuddin West area of Delhi and visited by thousands of Islam believers every week but since it was declared to be an attraction, many other people also visit the Dargah.","Qawwali performance happening here every night is a charming attraction but the performance on Thursdays are considered special. :The Dargah is a socially committed society of people which provides assistance for arranging marriages and extending helping hands to those who are needy of basic stuff, utensils, furniture, clothes etc. :The community helps students, media person and professors to do their projects related to Sufism.",https://i.imgur.com/cExDh5Y.jpg,https://i.imgur.com/cExDh5Y.jpg https://i.imgur.com/rf78n34.jpg https://i.imgur.com/vMYPddr.jpg https://i.imgur.com/o1SAXGG.jpg 
